Student Id,First name,Last Name,email
209511,Burton ,Palmer,bpalmer@mail.com
209512,Corine,Le,cle@mail.com
209513,Derek,Meyer,dmeyer@mail.com
209514,Eldridge,Marshal,emarshal@mail.com
209515,Cindy,Gardner,cgardner@mail.com
209516,Lyra,Belaqua,lbelaqua@mail.com
209517,Edmond,Dantes,edantes@mail.com
209518,Ward,Davies,wdavies@mail.com
209519,Carter,Gomez,cgomez@mail.com
209520,Jeanne,Davidson,jdavidson@mail.com
209521,David ,Lynch,dlynch@mail.com
209522,Oscar,Wild,owild@mail.com
209523,Victor,Hugo,vhugo@mail.com
209524,Billie ,Jimenez,bjimenez@mail.com
209525,Dolly ,Parton ,dparton@mail.com
209526,Lara,Munroe,lmunroe@mail.com
209527,Sam,Sheppard,ssheppard@mail.com
209528,Elizabeth ,Bennet,ebennet@mail.com
209529,Atticus,Finch,afinch@mail.com
209530,Clarissa,Dalloway,cdalloway@mail.com
209531,Philip,Marlowe,pmarlow@mail.com
209532,Boris,Vian,bvian@mail.com
209533,Dean ,Moriarty,dmoriarty@mail.com
209534,Joseph,Kafka,jkafka@mail.com
209535,Holly,Golightly,hgolightly@mail.com
209536,Erin,Jacobs,ejacobs@mail.com
209537,Donald,Aguirre,daguirre@mail.com
209538,Otis,Lyon,olyon@mail.com
209539,Frankie,Perry,fperry@mail.com
209540,Dana ,Huber,dhuber@mail.com
209541,Aron,Acosta,aacosta@mail.com
209542,Edith ,Piaf,epiaf@mail.com
209543,Rene,Gordon,rgordon@mail.com
209544,Cathryn,Lambert,clambert@mail.com
209545,Mariano,Macmillan,mmacmillan@mail.com
209546,Alice,Mains,amains@mail.com
209547,Robert,Nguyen,rnguyen@mail.com
209548,Joseph,Tremblay,jtremblay@mail.com
209549,Midori,Suzuki,msuzuki@mail.com
209550,Hayao,Miyazaki,hmiyazaki@mail.com
209551,Arturo,Bottura,abottura@mail.com
